name	date	response	treatment
albert	25/08/2003	0.059637042	A
ann	21/05/2003	1.465559934	A
john	12/10/2003	1.594065389	B
ian	02/12/2003	2.095059491	A
michael	18/10/2003	2.383307477	B
ann	02/07/2003	2.869836931	B
georgina	27/09/2003	3.371548018	B
james	05/06/2003	4.900413703	A
william	11/06/2003	6.544392826	A
cecily	02/11/2003	6.814675705	A
ann	24/09/2003	7.298165613	A
william	26/11/2003	7.335326185	B
georgina	08/11/2003	8.599702247	B
heather	11/07/2003	9.61359438	A
rachel	12/09/2003	9.900368469	B
alice	27/05/2003	9.978533905	A
michael	06/09/2003	10.458543	B
alice	30/09/2003	11.06014704	B
heather	30/05/2003	11.26854014	A
john	20/07/2003	11.50464886	A
ian	29/07/2003	11.72333783	A
william	15/10/2003	12.40324776	B
rose	18/09/2003	12.63427241	A
john	27/04/2003	12.70257306	A
albert	17/11/2003	12.74177019	B
heather	03/10/2003	12.79110099	B
john	23/11/2003	12.97294046	A
alice	11/11/2003	14.76282773	B
michael	03/05/2003	15.598909	B
james	20/11/2003	16.01210527	B
rose	30/10/2003	17.241801	A
elizabeth	15/09/2003	17.60579851	B
william	30/04/2003	18.05707279	B
john	08/06/2003	19.05004148	B
cecily	18/05/2003	21.27373776	B
elizabeth	04/08/2003	21.46862324	B
ann	13/08/2003	21.68931121	B
rose	07/08/2003	23.4358932	B
ian	21/10/2003	23.54979559	B
michael	29/11/2003	24.32552775	A
ian	17/06/2003	25.32228645	B
alice	19/08/2003	25.55500672	A
elizabeth	27/10/2003	27.07230982	A
albert	06/10/2003	27.48990917	B
ann	05/11/2003	28.0171584	B
georgina	05/07/2003	28.7555595	B
michael	26/07/2003	29.00261035	B
rachel	20/06/2003	30.26233082	B
albert	21/04/2003	30.66632632	A
rachel	09/05/2003	30.81807436	B
james	17/07/2003	31.40193642	B
john	31/08/2003	32.54748631	B
rachel	01/08/2003	32.98792196	B
james	09/10/2003	33.48503279	B
william	23/07/2003	35.24355112	A
cecily	21/09/2003	35.2763681	B
james	28/08/2003	35.78245193	A
cecily	29/06/2003	36.22602411	A
alice	08/07/2003	36.43687267	A
heather	22/08/2003	36.80806156	B
rose	26/06/2003	36.96936554	B
cecily	10/08/2003	36.99415561	B
james	24/04/2003	37.04140266	A
rachel	24/10/2003	37.62956779	B
albert	02/06/2003	38.41979568	A
ian	09/09/2003	38.43781828	A
william	03/09/2003	38.95014474	A
albert	14/07/2003	39.19746613	A
elizabeth	12/05/2003	39.39536726	B
michael	14/06/2003	39.56900878	A
ian	06/05/2003	39.97237868	A
rose	15/05/2003	39.98892034	A
georgina	24/05/2003	40.35117518	B
georgina	16/08/2003	40.81249037	A
heather	14/11/2003	41.81821146	B
elizabeth	23/06/2003	42.43802895	B
